DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,11:20:00,134.64,134.67,134.63,134.66,291
2020-03-02,11:21:00,134.68,134.71,134.67,134.68,268
2020-03-02,11:22:00,134.68,134.72,134.68,134.68,419
2020-03-02,11:23:00,134.68,134.7,134.68,134.7,129
2020-03-02,11:24:00,134.7,134.7,134.65,134.65,260
2020-03-02,11:25:00,134.65,134.66,134.61,134.61,506
2020-03-02,11:26:00,134.61,134.62,134.58,134.62,804
2020-03-02,11:27:00,134.62,134.62,134.53,134.56,774
2020-03-02,11:28:00,134.55,134.56,134.52,134.53,859
2020-03-02,11:29:00,134.54,134.55,134.52,134.54,456
2020-03-02,11:30:00,134.54,134.54,134.52,134.54,367
2020-03-02,11:31:00,134.54,134.55,134.52,134.53,321
2020-03-02,11:32:00,134.53,134.54,134.48,134.5,576
2020-03-02,11:33:00,134.5,134.53,134.49,134.51,286
2020-03-02,11:34:00,134.51,134.52,134.47,134.49,598
2020-03-02,11:35:00,134.47,134.47,134.4,134.4,1056
2020-03-02,11:36:00,134.4,134.44,134.39,134.39,685
2020-03-02,11:37:00,134.38,134.4,134.35,134.4,644
2020-03-02,11:38:00,134.4,134.4,134.35,134.37,490
2020-03-02,11:39:00,134.38,134.39,134.36,134.38,444
2020-03-02,11:40:00,134.37,134.4,134.37,134.4,421
2020-03-02,11:41:00,134.4,134.42,134.37,134.41,236
2020-03-02,11:42:00,134.41,134.42,134.37,134.37,281
2020-03-02,11:43:00,134.36,134.36,134.28,134.33,549
2020-03-02,11:44:00,134.33,134.34,134.27,134.27,259
2020-03-02,11:45:00,134.28,134.36,134.26,134.34,506
2020-03-02,11:46:00,134.33,134.33,134.23,134.24,499
2020-03-02,11:47:00,134.24,134.25,134.12,134.15,782
2020-03-02,11:48:00,134.14,134.17,134.08,134.11,524
2020-03-02,11:49:00,134.12,134.13,133.95,134.07,1008
2020-03-02,11:50:00,134.07,134.1,134.04,134.07,450
2020-03-02,11:51:00,134.06,134.18,134.04,134.15,802
2020-03-02,11:52:00,134.15,134.26,134.15,134.26,478
2020-03-02,11:53:00,134.27,134.27,134.2,134.22,273
2020-03-02,11:54:00,134.22,134.24,134.22,134.24,75
2020-03-02,11:55:00,134.25,134.26,134.22,134.22,277
2020-03-02,11:56:00,134.22,134.22,134.16,134.19,345
2020-03-02,11:57:00,134.2,134.25,134.2,134.25,90
2020-03-02,11:58:00,134.24,134.27,134.23,134.23,101
2020-03-02,11:59:00,134.23,134.25,134.2,134.25,54
2020-03-02,12:00:00,134.26,134.33,134.26,134.28,531
2020-03-02,12:01:00,134.28,134.28,134.21,134.22,311
2020-03-02,12:02:00,134.25,134.3,134.25,134.3,119
2020-03-02,12:03:00,134.29,134.32,134.28,134.3,288
2020-03-02,12:04:00,134.29,134.36,134.26,134.33,813
2020-03-02,12:05:00,134.34,134.39,134.34,134.37,188
2020-03-02,12:06:00,134.36,134.36,134.31,134.31,222
2020-03-02,12:07:00,134.31,134.31,134.24,134.26,287
2020-03-02,12:08:00,134.25,134.3,134.25,134.3,130
2020-03-02,12:09:00,134.31,134.32,134.29,134.29,143
2020-03-02,12:10:00,134.29,134.32,134.29,134.32,161
2020-03-02,12:11:00,134.33,134.35,134.28,134.31,182
2020-03-02,12:12:00,134.3,134.32,134.29,134.32,95
2020-03-02,12:13:00,134.31,134.34,134.31,134.32,71
2020-03-02,12:14:00,134.32,134.32,134.29,134.3,108
2020-03-02,12:15:00,134.31,134.37,134.3,134.37,277
2020-03-02,12:16:00,134.36,134.37,134.34,134.37,159
2020-03-02,12:17:00,134.37,134.37,134.36,134.37,85
2020-03-02,12:18:00,134.37,134.39,134.36,134.37,112
2020-03-02,12:19:00,134.38,134.39,134.36,134.36,114
2020-03-02,12:20:00,134.36,134.39,134.35,134.37,286
2020-03-02,12:21:00,134.37,134.39,134.37,134.38,65
2020-03-02,12:22:00,134.38,134.39,134.37,134.38,153
2020-03-02,12:23:00,134.37,134.37,134.32,134.33,258
2020-03-02,12:24:00,134.34,134.34,134.31,134.32,64
2020-03-02,12:25:00,134.31,134.38,134.31,134.38,188
2020-03-02,12:26:00,134.37,134.38,134.34,134.36,275
2020-03-02,12:27:00,134.35,134.35,134.31,134.34,190
2020-03-02,12:28:00,134.34,134.35,134.34,134.35,213
2020-03-02,12:29:00,134.34,134.34,134.31,134.34,68
2020-03-02,12:30:00,134.34,134.38,134.34,134.34,261
2020-03-02,12:31:00,134.34,134.35,134.32,134.33,119
2020-03-02,12:32:00,134.32,134.36,134.32,134.36,126
2020-03-02,12:33:00,134.37,134.37,134.35,134.36,122
2020-03-02,12:34:00,134.35,134.36,134.34,134.36,108
2020-03-02,12:35:00,134.34,134.34,134.27,134.32,276
2020-03-02,12:36:00,134.32,134.32,134.29,134.29,59
2020-03-02,12:37:00,134.3,134.3,134.25,134.27,168
2020-03-02,12:38:00,134.28,134.3,134.28,134.29,131
2020-03-02,12:39:00,134.28,134.29,134.26,134.28,124
2020-03-02,12:40:00,134.29,134.3,134.29,134.29,108
2020-03-02,12:41:00,134.3,134.3,134.26,134.29,79
2020-03-02,12:42:00,134.29,134.3,134.29,134.3,59
2020-03-02,12:43:00,134.3,134.3,134.26,134.27,173
2020-03-02,12:44:00,134.28,134.33,134.28,134.29,323
2020-03-02,12:45:00,134.29,134.3,134.29,134.29,45
2020-03-02,12:46:00,134.3,134.3,134.25,134.3,203
2020-03-02,12:47:00,134.3,134.32,134.3,134.32,125
2020-03-02,12:48:00,134.33,134.34,134.32,134.33,228
2020-03-02,12:49:00,134.34,134.4,134.34,134.39,600
2020-03-02,12:50:00,134.4,134.4,134.36,134.39,90
2020-03-02,12:51:00,134.39,134.4,134.38,134.38,156
2020-03-02,12:52:00,134.39,134.39,134.33,134.33,99
2020-03-02,12:53:00,134.33,134.34,134.27,134.27,316
2020-03-02,12:54:00,134.29,134.32,134.29,134.32,85
2020-03-02,12:55:00,134.32,134.34,134.31,134.34,201
2020-03-02,12:56:00,134.32,134.32,134.29,134.31,164
2020-03-02,12:57:00,134.32,134.32,134.31,134.32,67
2020-03-02,12:58:00,134.32,134.34,134.3,134.3,52
2020-03-02,12:59:00,134.29,134.31,134.28,134.29,200
2020-03-02,13:00:00,134.3,134.3,134.28,134.28,83
